,id,rank,Country,Continent,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalTests,Deaths_1M_pop
141,7b513adb-ea2d-490b-a0d5-8f9f7af33ddc,141,Fiji,Australia/Oceania,1.29,66.48,96.68,604942,956.0
142,c6f18a23-8f0d-43b2-9824-43841ad9e91b,142,Belize,North America,1.01,139.61,98.31,576016,1648.0
143,e13ba956-f90f-4d60-a37f-4dfe17710fe1,143,Madagascar,Africa,2.12,1.69,97.25,491565,48.0
144,7d476ff7-09ba-4720-a954-8116aa4732af,144,Sudan,Africa,7.87,1.22,0.0,562941,108.0
145,34e08b74-4426-4f8f-ba04-2ad3268d57ed,145,Mauritania,Africa,1.58,18.6,97.41,912061,202.0
146,1b4c6f13-6569-42c4-ac46-70aac0a61cf1,146,Cabo Verde,Africa,0.66,70.65,99.12,401622,721.0
147,bf5fe94d-de57-4ff8-b174-c1238e097c6c,147,Bhutan,Asia,0.03,291.9,99.74,2303734,27.0
148,86c418c9-9bad-4c05-90a0-31f87650ee52,148,Syria,Asia,5.6,0.8,93.88,146269,171.0
149,9151888a-1e30-41cf-83ac-6b30b75199ba,149,Gabon,Africa,0.63,68.93,98.31,1609218,131.0
150,d7bf6e66-1301-41b6-abef-9d561247123d,150,Seychelles,Africa,0.37,0.0,99.3,0,1677.0
151,7d567c91-c413-4427-b015-408a660c2fb7,151,Burundi,Africa,0.08,2.74,0.0,345742,3.0
152,9390f297-9b1c-4460-9969-09162343cfaa,152,Curaçao,North America,0.63,300.15,98.94,496693,1704.0
153,1d10595e-15e7-4d0f-a990-6b45b1af1120,153,Papua New Guinea,Australia/Oceania,1.48,2.68,98.21,249149,71.0
154,3a152b44-2832-418e-853e-50a89cacf701,154,Andorra,Europe,0.34,322.28,98.05,249838,1974.0
155,ebe06cac-5d5c-4fdd-bfe0-7fb7b27fbf19,155,Aruba,North America,0.53,165.16,98.62,177885,2080.0
156,fd80c13b-96b1-49cb-8612-2fc3c13907fd,156,Mauritius,Africa,2.56,28.11,95.04,358675,794.0
157,ba51f892-30dd-43c5-a994-f70954fc88d5,157,Mayotte,Africa,0.48,61.76,0.0,176919,653.0
158,23047b40-5204-4d21-a200-b219d68f6fdc,158,Togo,Africa,0.73,8.86,98.84,768979,32.0
